gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,differential
Solyc01g006540,6967.638199503739,-4.210169371605188,0.10852457077748838,-38.794618964560954,0,0,TRUE
Solyc01g014840,1596.339758070885,4.112858157976461,0.10445739816527051,39.373545868615025,0,0,TRUE
Solyc01g067890,10732.125309771385,-2.4626784760191094,0.061577480530386135,-39.99316722294073,0,0,TRUE
Solyc01g080410,11099.241235229487,-4.765318496704415,0.08711079572694282,-54.70410936942609,0,0,TRUE
Solyc01g081250,103230.23042536768,-11.775645779320847,0.13121263613186362,-89.74475421320534,0,0,TRUE
Solyc01g088400,40100.32989812765,-7.897672653980759,0.09235988119738815,-85.50977493249631,0,0,TRUE
Solyc01g091590,1783.8718234371213,4.766747663770974,0.11558891184479358,41.23879693730052,0,0,TRUE
Solyc01g095080,2138.6610509552597,-4.705069544498115,0.12302783422684069,-38.24394352763158,0,0,TRUE
Solyc01g095630,7192.661441095489,4.57084188856953,0.10791857969718278,42.354540815818865,0,0,TRUE
Solyc01g096100,9972.32229271903,-2.5163660404487733,0.05886139135758809,-42.75070606404171,0,0,TRUE
Solyc01g096200,5624.635415980358,3.9515536496354486,0.07819850378072744,50.532343441196836,0,0,TRUE
Solyc01g099190,276255.90448273474,-4.593279562992285,0.06258458711294528,-73.3931431824081,0,0,TRUE
Solyc01g099200,1476.536410579882,-5.569463163824169,0.13272403300587812,-41.96273303100658,0,0,TRUE
Solyc01g099370,13290.103351425107,3.001297733850328,0.06569838156883435,45.682978213181244,0,0,TRUE
Solyc01g100370,36852.95936538203,-5.676813853888708,0.10882854919510264,-52.1629103380914,0,0,TRUE
Solyc01g102410,12209.519410248293,-2.9601223159468804,0.05947299666490242,-49.77254353981084,0,0,TRUE
Solyc01g107820,5529.935587973939,3.0319165531534042,0.06809643536056734,44.5238658543513,0,0,TRUE
Solyc01g108560,12025.2458695791,-5.765078835770348,0.07849011083354428,-73.44974767581203,0,0,TRUE
Solyc01g108880,3161.700979575712,-6.234955938703842,0.11308724710063472,-55.13403233837184,0,0,TRUE
Solyc01g109110,4603.981944982262,2.7299265492673923,0.06770073783730349,40.32343865775695,0,0,TRUE
Solyc01g109460,5349.372054128361,3.230476503584479,0.06899827383319225,46.819671335465046,0,0,TRUE
Solyc01g111980,6218.445096761667,4.322387301974153,0.08911142323999094,48.505423264683934,0,0,TRUE
Solyc02g036480,1304.5328006437119,4.415512590591587,0.11584781803819434,38.114766987979166,0,0,TRUE
Solyc02g038740,4190.1409250495535,-5.1883287990702245,0.09198289803042958,-56.40536349869986,0,0,TRUE
Solyc02g064680,15321.896963533709,4.220674018272913,0.08228155455315542,51.295506522622624,0,0,TRUE
Solyc02g065240,10700.43740999632,-9.17408362233726,0.15064202892708103,-60.89989419073755,0,0,TRUE
Solyc02g067440,1811.1646650974776,-6.240002410666114,0.13978826882988746,-44.63895620783286,0,0,TRUE
Solyc02g067580,14624.800410876875,-5.123126566452344,0.11589229335752076,-44.205929644068796,0,0,TRUE
Solyc02g068310,1504.9134701764785,-4.6446380806242535,0.10536416551743587,-44.08176212296438,0,0,TRUE
Solyc02g069420,2098.936614897101,-3.7892300718690115,0.09489674160642281,-39.93003350509717,0,0,TRUE
Solyc02g071820,5858.7143953550985,3.181824998621573,0.07309957650991497,43.52726993144757,0,0,TRUE
Solyc02g077040,10357.795104773188,2.8939174299727295,0.06751311299315094,42.86452367062842,0,0,TRUE
Solyc02g077240,23133.018076720557,-4.846037308261617,0.06153340453598935,-78.75457801830697,0,0,TRUE
Solyc02g078400,52495.11350262918,-4.1547394317708015,0.06632836157985263,-62.638957646630786,0,0,TRUE
Solyc02g078460,3528.845184481821,-3.636961086559959,0.09234131491838583,-39.386065595604954,0,0,TRUE
Solyc02g079040,3284.3359958152687,3.4616500872010567,0.07685496119223936,45.041335438870874,0,0,TRUE
Solyc02g081500,1935.3536981285686,3.5591628842215446,0.0882340550750254,40.33774579662228,0,0,TRUE
Solyc02g081830,3995.142206273772,-4.836926211082662,0.09800594829056634,-49.35339431380457,0,0,TRUE
Solyc02g082420,1203.2872076009494,-3.8667565007089113,0.10144640825274816,-38.116248443957716,0,0,TRUE
Solyc02g083460,2753.80949024285,3.227158119450951,0.07521262153753443,42.90713517864095,0,0,TRUE
Solyc02g084890,1635.3020845949904,3.875987649130701,0.0973104296428235,39.83116366208079,0,0,TRUE
Solyc02g085910,7542.551134510925,-10.605949064614192,0.26057733392570215,-40.701732974358556,0,0,TRUE
Solyc02g086210,1574.408933408675,5.503053601737394,0.13495482176863172,40.77700618338706,0,0,TRUE
Solyc02g087740,6723.9859875176335,-3.671092109536187,0.0675896623034321,-54.314402298023836,0,0,TRUE
Solyc02g088630,2294.9995253200636,4.4771185826334,0.10105383242035866,44.30429282493421,0,0,TRUE
Solyc02g088690,3067.608403895022,2.995698666870719,0.0743079000235273,40.31467267843962,0,0,TRUE
Solyc02g089640,5901.348821297462,3.652133499073322,0.09059780271683072,40.31150193000045,0,0,TRUE
Solyc02g089900,2731.6703710494608,3.4067473353821134,0.0819992155758748,41.546096648080876,0,0,TRUE
Solyc02g090120,6977.124439234738,-7.557868536763745,0.12881329186628504,-58.673048621482394,0,0,TRUE
Solyc02g090360,11316.943790678732,3.7308025773914184,0.06665334237605225,55.97322571376183,0,0,TRUE
Solyc02g090490,1255.4342485547352,4.928789285387109,0.1285731462192989,38.33451564590627,0,0,TRUE
Solyc02g092150,1303.1956243170237,-3.6329968596340105,0.09480339486659495,-38.32137936353731,0,0,TRUE
Solyc02g093910,2093.5057866433604,-5.146461004763546,0.1086966466412493,-47.34700806133715,0,0,TRUE
Solyc02g094000,2901.071148885753,4.170091555474432,0.08483681323143547,49.15426919795291,0,0,TRUE
Solyc03g005020,2828.594710723472,-3.3822026255524835,0.08010606051688758,-42.22155731699556,0,0,TRUE
