gene_id,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc00g005050,Arabinogalactan protein,-0.008748157388304863,True,,,,1.0,1.4910041869444326,-1.4910041869444326,7.45486369158171e-10,Solyc00g005050.2.1_S181,False,True
Solyc00g005840,"Thioredoxin family protein  IPR015467  Thioredoxin, core",0.15472002171480106,True,,,,,,,,,False,False
Solyc00g006490,Serine_threonine-protein phosphatase 6 regulatory subunit 3  IPR007587  SIT4 phosphatase-associated protein,-0.0385900892250176,True,,,,,,,,,False,False
Solyc00g006800,"Transaldolase  IPR014634  Transaldolase, bacterial_plant type",-0.1520104903215452,True,,,,1.0,0.6662238013019733,0.6662238013019733,0.000117287021768463,Solyc00g006800.2.1_S336,False,True
Solyc00g006810,"Peptidyl-prolyl cis-trans isomerase  IPR001179  Peptidyl-prolyl cis-trans isomerase, FKBP-type",-1.8923464516556512,True,-1.8922847780745833,4.87164560245928e-13,7.53029323733184e-12,,,,,,True,False
Solyc00g006830,No exine formation-1,-0.05981923511734889,True,,,,,,,,,False,False
Solyc00g007010,"Phosphatidylinositol phosphate (PtdInsP) phosphatase involved in hydrolysis of PtdIns  IPR002013  Synaptojanin, N-terminal",0.08450379973929316,True,,,,,,,,,False,False
Solyc00g007070,"Heterogeneous nuclear ribonucleoprotein H1  IPR012677  Nucleotide-binding, alpha-beta plait",-0.08286274579244092,True,,,,,,,,,False,False
Solyc00g007100,Serine_threonine protein kinase  IPR002290  Serine_threonine protein kinase,-0.2570751837123388,True,,,,,,,,,False,False
Solyc00g007110,Epidermal growth factor receptor substrate 15  IPR011992  EF-Hand type,-0.43367493591306167,True,,,,,,,,,False,False
Solyc00g007120,Calcium-binding EF hand family protein  IPR011992  EF-Hand type,0.0109840169577545,True,,,,3.0,0.8815285001806857,-0.8815285001806857,3.14002835226358e-07,Solyc00g007120.2.1_S410;Solyc00g007120.2.1_T739,False,True
Solyc00g007270,Translation initiation factor  IPR002769  Translation initiation factor IF6,-0.06358519585909367,True,,,,1.0,0.5978882226148078,0.5978882226148078,0.000662542085456316,Solyc00g007270.2.1_S243,False,True
Solyc00g007300,"Lrr,  resistance protein fragment",0.05369015080799766,True,,,,1.0,0.7726065116226801,0.7726065116226801,3.86143098219485e-07,Solyc00g007300.2.1_S247,False,True
Solyc00g008680,Calcium binding protein-like  IPR011992  EF-Hand type,0.10692671819921429,True,,,,,,,,,False,False
Solyc00g009020,Mitochondrial ATP synthase,-0.7751233943759985,True,-0.7750223940523221,1.24581738036838e-10,8.0237861425465e-10,,,,,,True,False
